time,obs
12126,174.65
12125,174.88
12125,174.68
12124,173.25
12124,172.56
12123,172
12123,171.21
12123,170.98
12122,170.89
12122,170.62
12121,170.69
12121,170.29
12120,170.41
12120,171.24
12119,171.52
12119,171.59
12118,171.26
12118,171.07
12117,170.38
12117,169.98
12117,169.85
12116,170.29
12116,170.52
12115,170.28
12115,169.74
12114,169.34
12114,168.66
12113,167.97
12113,168.03
12112,167.57
12112,167.49
12111,167.2
12111,167.12
12110,167.79
12110,168.2
12110,168.86
12109,169.41
12109,170.63
12108,171.88
12108,171.66
12107,171.52
12107,171.49
12106,170.36
12106,170.41
12105,171.14
12105,171.4
12104,171.77
12104,171.39
12103,171.05
12103,171.47
12103,171.35
12102,171.46
12102,171.8
12101,171.59
12101,171.02
12100,169.9
12100,169.53
12099,170.29
12099,170.19
12098,170.32
12098,170.9
12097,170.85
12097,171.13
12097,171.58
12096,171.59
12096,171.18
12095,170.87
12095,171.49
12094,172.1
12094,171.78
12093,171.38
12093,169.99
12092,168.97
12092,168.81
12091,169.2
12091,169.24
12090,169
12090,168.59
12090,167.59
12089,166.2
12089,166.1
12088,167.02
12088,167.59
12087,167.42
12087,167.21
12086,167.28
12086,166.18
12085,166.51
12085,167.08
12084,168.09
12084,168.45
12084,167.97
12083,167.81
12083,168.15
12082,168.12
12082,168.56
12081,169.14
12081,168.64
12080,169.07
12080,168.08
12079,167.47
12079,167.75
12078,167.68
12078,168
12077,167.6
12077,166.39
12077,166.57
12076,166.9
12076,168.08
12075,169.74
12075,170.14
12074,170.5
12074,171.63
12073,172.18
12073,173.3
12072,174.22
12072,175.27
12071,174.79
12071,173.34
12071,172.9
12070,172.41
12070,171.05
12069,169.72
12069,169.04
12068,168.59
12068,167.41
12067,166.16
12067,166.89
12066,167.23
12066,167.37
12065,168.3
12065,169.36
12064,169.79
12064,170.73
12064,171.75
12063,171.9
12063,171.76
12062,172
12062,172.85
12061,173.38
12061,173.47
12060,173.44
12060,173.11
12059,172.42
12059,171.89
12058,171.81
12058,171.64
12057,171.29
12057,170.75
12057,169.88
12056,169.41
12056,169.77
12055,169.82
12055,169.86
12054,169.8
12054,169.49
12053,170.25
12053,170.58
12052,170.57
12052,170.19
12051,170.23
12051,170.33
12051,170.33
12050,169.18
12050,169.01
12049,169.46
12049,169.89
12048,171.14
12048,172.38
12047,172.94
12047,172.74
12046,172.95
12046,173.29
12045,174.13
12045,173.42
12044,172.85
12044,171.73
12044,170.77
12043,170.27
12043,170.27
12042,170.72
12042,171.03
12041,171.21
12041,171.71
12040,172.3
12040,173.13
12039,174.24
12039,174.34
12038,174.5
12038,174.56
12038,174.47
12037,174.49
12037,174.29
12036,174.07
12036,173.92
12035,173.61
12035,173.21
12034,172.56
12034,172.06
12033,172.13
12033,172.11
12032,172.41
12032,173
12031,173.19
12031,173
12031,172.84
12030,173.31
12030,173.94
12029,174.17
12029,174.05
12028,174.56
12028,173.41
12027,173.56
12027,175.1
12026,176.28
12026,176.76
12025,176.83
12025,177.44
12025,177.47
12024,177.18
12024,177.83
12023,178.77
12023,178.22
12022,176.86
12022,175.65
12021,174.65
12021,173.92
12020,173.14
12020,173.05
12019,173.35
12019,173.68
12018,173.48
12018,173.46
12018,173.76
12017,174.1
12017,173.89
12016,173.81
12016,173.59
12015,173.37
12015,173.35
12014,172.92
12014,172.85
12013,172.47
12013,171.93
12012,171.59
12012,171.68
12011,171.68
12011,171.45
12011,171.21
12010,171.15
12010,171.02
12009,170.47
12009,170
12008,170.31
12008,170.82
12007,171.49
12007,172.3
12006,172.78
12006,173.11
12005,173.08
12005,172.55
12005,172.53
12004,172.89
12004,173.33
12003,173.07
12003,173
12002,172.59
12002,173.08
12001,173.6
12001,173.97
12000,174.36
12000,174.77
11999,175.17
11999,175.05
11998,174.81
11998,174.19
11998,173.92
11997,173.41
11997,172.91
11996,172.33
11996,171.84
11995,171.24
11995,170.51
11994,169.97
11994,169.92
11993,170.18
11993,170.14
11992,170.05
11992,169.76
11992,169.82
11991,170.05
11991,170.49
11990,170.81
11990,171.02
11989,171.32
11989,170.84
11988,170.74
11988,171.1
11987,171.06
11987,170.9
11986,170.72
11986,170.29
11985,169.79
11985,169.49
11985,169.29
11984,169.45
11984,169.72
11983,169.86
11983,170.35
11982,171.38
11982,172.47
11981,173.55
11981,174.54
11980,175.26
11980,175.44
11979,175.7
11979,175.86
11978,175.74
11978,175.7
11978,175.62
11977,175.44
11977,175.18
11976,175.16
11976,175.23
11975,175.45
11975,175.86
11974,176.45
11974,176.92
11973,177.1
11973,177.03
11972,177
11972,176.75
11972,176.45
11971,176.22
11971,176.12
11970,176.25
11970,175.88
11969,175.39
11969,174.7
11968,174.61
11968,174.58
11967,174.29
11967,174.19
11966,173.91
11966,173.78
11965,173.54
11965,173.15
11965,172.97
11964,173.04
11964,173.14
11963,172.28
11963,171.55
11962,171.04
11962,170.31
11961,170.03
11961,169.8
11960,169.15
11960,168.26
11959,167.87
11959,168.3
11959,168.06
11958,168.09
11958,167.83
11957,167.86
11957,167.64
11956,166.94
11956,166.52
11955,166.73
11955,167.04
11954,167.38
11954,167.49
11953,167.75
11953,168.39
11952,169.04
11952,168.72
11952,169.48
11951,169.8
11951,168.72
11950,168.76
11950,168.32
11949,168.11
11949,167.48
11948,166.48
11948,166.38
11947,166.76
11947,167.1
11946,167.1
11946,168.94
11946,170.19
11945,170.32
11945,170.66
11944,170.53
11944,170.79
11943,171.09
11943,171.25
11942,171.72
11942,172.35
11941,172.19
11941,171.92
11940,171.82
11940,171.83
11939,171.86
11939,171.94
11939,172.42
11938,172
11938,171.73
11937,171.34
11937,171.08
11936,171.18
11936,171.06
11935,171.33
11935,171
11934,171.04
11934,171.17
11933,172.57
11933,173.84
11932,174.49
11932,174.9
11932,175.32
11931,175.95
11931,176.32
11930,176.34
11930,176.55
11929,176.36
11929,175.47
11928,174.79
11928,174.33
11927,173.86
11927,173.18
11926,172.3
11926,171.41
11926,170.93
11925,170.97
11925,170.98
11924,171.11
11924,171.44
11923,171.86
11923,172.33
11922,172.84
11922,173.42
11921,173.99
11921,174.65
11920,175.3
11920,175.39
11919,175.08
11919,174.57
11919,174.01
11918,173.55
11918,173.33
11917,173.01
11917,172.48
11916,172.08
11916,171.91
11915,171.84
11915,171.8
11914,171.76
11914,172.03
11913,172.57
11913,172.99
11913,172.63
11912,171.6
11912,170.4
11911,169.76
11911,168.95
11910,167.6
11910,166.21
11909,165.87
11909,165.89
11908,166.04
11908,166.22
11907,166.8
11907,167.53
11906,167.82
11906,167.72
11906,168.1
11905,168.87
11905,169.38
11904,169.85
11904,169.82
11903,169.33
11903,168.72
11902,168.2
11902,168.2
11901,168.88
11901,170.08
11900,170.81
11900,171.21
11900,171.11
11899,171.05
11899,171.3
11898,171.89
11898,171.56
11897,171.58
11897,171.75
11896,171.46
11896,171.2
11895,170.6
11895,170.44
11894,170.95
11894,170.91
11893,170.23
11893,170.75
11893,171.18
11892,171.45
11892,171.27
11891,171.41
11891,171.74
11890,172.08
11890,171.44
11889,170.37
11889,170.05
11888,170.05
11888,170.56
11887,171
11887,171.54
11886,171.99
11886,172.01
11886,171.79
11885,171.81
11885,172.37
11884,173.47
11884,174.09
11883,173.94
11883,173.28
11882,172.57
11882,171.97
11881,171.21
11881,171.01
11880,170.79
11880,170.3
11880,169.84
11879,169.08
11879,168.06
11878,167.78
11878,167.95
11877,168.3
11877,168.91
11876,169.39
11876,169.51
11875,169.83
11875,170.72
11874,171.6
11874,172.78
11873,173.78
11873,173.88
11873,173.77
11872,173.79
11872,173.75
11871,173.8
11871,174.46
11870,175.02
11870,174.98
11869,174.62
